Week Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Jan 1,"MDC (M), HSB (C)","MDC (M), RWJ (C)","MDC (M), DJO (C)","MDC (M), MX (C)","MDC (M), KYZ (C)","KYZ (C)","KYZ (C)"
Jan 8,"LRL (M), LRL (C)","LRL (M), NKW (C)","LRL (M), HSB (C)","LRL (M), MDC (C)","LRL (M), MDC (C)","MDC (C)","MDC (C)"
Jan 15,"DJO (M), DJO (C)","DJO (M), MX (C)","DJO (M), KYZ (C)","DJO (M), LRL (C)","DJO (M), LRL (C)","LRL (C)","LRL (C)"
Jan 22,"NKW (M), HSB (C)","NKW (M), MDC (C)","NKW (M), RWJ (C)","NKW (M), DJO (C)","NKW (M), RWJ (C)","RWJ (C)","RWJ (C)"
Jan 29,"MX (M), KYZ (C)","MX (M), LRL (C)","MX (M), NKW (C)","MX (M), HSB (C)","MX (M), NKW (C)","NKW (C)","NKW (C)"
Feb 5,"KYZ (M), RWJ (C)","KYZ (M), DJO (C)","KYZ (M), MX (C)","KYZ (M), KYZ (C)","KYZ (M), MX (C)","MX (C)","MX (C)"
Feb 12,"HSB (M), NKW (C)","HSB (M), HSB (C)","HSB (M), MDC (C)","HSB (M), RWJ (C)","HSB (M), MDC (C)","MDC (C)","MDC (C)"
Feb 19,"MDC (M), MX (C)","MDC (M), KYZ (C)","MDC (M), LRL (C)","MDC (M), NKW (C)","MDC (M), LRL (C)","LRL (C)","LRL (C)"
Feb 26,"RWJ (M), MDC (C)","RWJ (M), DJO (C)","RWJ (M), MX (C)","RWJ (M), KYZ (C)","RWJ (M), HSB (C)","HSB (C)","HSB (C)"
Mar 4,"LRL (M), NKW (C)","LRL (M), HSB (C)","LRL (M), MDC (C)","LRL (M), RWJ (C)","LRL (M), DJO (C)","DJO (C)","DJO (C)"
Mar 11,"DJO (M), MX (C)","DJO (M), KYZ (C)","DJO (M), LRL (C)","DJO (M), NKW (C)","DJO (M), HSB (C)","HSB (C)","HSB (C)"
Mar 18,"NKW (M), MDC (C)","NKW (M), RWJ (C)","NKW (M), DJO (C)","NKW (M), MX (C)","NKW (M), KYZ (C)","KYZ (C)","KYZ (C)"
Mar 25,"MX (M), LRL (C)","MX (M), NKW (C)","MX (M), HSB (C)","MX (M), MDC (C)","MX (M), RWJ (C)","RWJ (C)","RWJ (C)"
Apr 1,"KYZ (M), DJO (C)","KYZ (M), MX (C)","KYZ (M), KYZ (C)","KYZ (M), LRL (C)","KYZ (M), NKW (C)","NKW (C)","NKW (C)"
Apr 8,"HSB (M), HSB (C)","HSB (M), MDC (C)","HSB (M), RWJ (C)","HSB (M), DJO (C)","HSB (M), MX (C)","MX (C)","MX (C)"
Apr 15,"MDC (M), KYZ (C)","MDC (M), LRL (C)","MDC (M), NKW (C)","MDC (M), HSB (C)","MDC (M), MDC (C)","MDC (C)","MDC (C)"
Apr 22,"RWJ (M), DJO (C)","RWJ (M), MX (C)","RWJ (M), KYZ (C)","RWJ (M), LRL (C)","RWJ (M), NKW (C)","NKW (C)","NKW (C)"
Apr 29,"LRL (M), HSB (C)","LRL (M), MDC (C)","LRL (M), RWJ (C)","LRL (M), DJO (C)","LRL (M), MX (C)","MX (C)","MX (C)"
May 6,"DJO (M), KYZ (C)","DJO (M), LRL (C)","DJO (M), NKW (C)","DJO (M), HSB (C)","DJO (M), MDC (C)","MDC (C)","MDC (C)"
May 13,"NKW (M), RWJ (C)","NKW (M), DJO (C)","NKW (M), MX (C)","NKW (M), KYZ (C)","NKW (M), LRL (C)","LRL (C)","LRL (C)"
May 20,"MX (M), HSB (C)","MX (M), MDC (C)","MX (M), RWJ (C)","MX (M), DJO (C)","MX (M), NKW (C)","NKW (C)","NKW (C)"
May 27,"KYZ (M), MX (C)","KYZ (M), KYZ (C)","KYZ (M), LRL (C)","KYZ (M), NKW (C)","KYZ (M), HSB (C)","HSB (C)","HSB (C)"
Jun 3,"HSB (M), MDC (C)","HSB (M), RWJ (C)","HSB (M), DJO (C)","HSB (M), MX (C)","HSB (M), KYZ (C)","KYZ (C)","KYZ (C)"
Jun 10,"MDC (M), LRL (C)","MDC (M), NKW (C)","MDC (M), HSB (C)","MDC (M), MDC (C)","MDC (M), RWJ (C)","RWJ (C)","RWJ (C)"
Jun 17,"RWJ (M), DJO (C)","RWJ (M), MX (C)","RWJ (M), KYZ (C)","RWJ (M), LRL (C)","RWJ (M), NKW (C)","NKW (C)","NKW (C)"
Jun 24,"LRL (M), HSB (C)","LRL (M), MDC (C)","LRL (M), RWJ (C)","LRL (M), DJO (C)","LRL (M), MX (C)","MX (C)","MX (C)"
